record_id,work_order_id,record_date,workstation_id,material_id,consume_qty
69,WO0031,2025-01-08,W02,M007,12
70,WO0031,2025-01-08,W02,M001,18
71,WO0031,2025-01-08,W02,M008,34
72,WO0032,2025-01-08,W04,M005,45
73,WO0032,2025-01-08,W04,M008,22
74,WO0033,2025-01-08,W04,M002,54
75,WO0033,2025-01-08,W04,M008,34
76,WO0033,2025-01-08,W04,M004,30
77,WO0034,2025-01-08,W04,M007,13
78,WO0034,2025-01-08,W04,M002,34
79,WO0034,2025-01-08,W04,M003,25
80,WO0035,2025-01-08,W04,M007,25
81,WO0035,2025-01-08,W04,M006,21
82,WO0035,2025-01-08,W04,M005,18
83,WO0036,2025-01-08,W01,M002,31
84,WO0036,2025-01-08,W01,M001,11
85,WO0036,2025-01-08,W01,M008,30
86,WO0037,2025-01-09,W01,M002,29
87,WO0037,2025-01-09,W01,M001,47
88,WO0037,2025-01-09,W01,M004,18
89,WO0038,2025-01-09,W04,M002,52
90,WO0038,2025-01-09,W04,M006,39
91,WO0039,2025-01-09,W03,M007,44
92,WO0040,2025-01-09,W02,M006,18
93,WO0040,2025-01-09,W02,M008,20
94,WO0040,2025-01-09,W02,M004,29
95,WO0041,2025-01-09,W01,M008,45
96,WO0041,2025-01-09,W01,M004,60
97,WO0042,2025-01-09,W01,M007,38
98,WO0042,2025-01-09,W01,M008,50
99,WO0042,2025-01-09,W01,M004,19
100,WO0043,2025-01-09,W01,M007,23
101,WO0043,2025-01-09,W01,M006,12
102,WO0044,2025-01-10,W05,M002,9
103,WO0044,2025-01-10,W05,M006,34
104,WO0045,2025-01-10,W03,M002,46
105,WO0045,2025-01-10,W03,M008,39
106,WO0045,2025-01-10,W03,M004,39
107,WO0046,2025-01-10,W02,M002,9
108,WO0046,2025-01-10,W02,M005,13
109,WO0046,2025-01-10,W02,M004,40
110,WO0047,2025-01-10,W01,M007,38
111,WO0047,2025-01-10,W01,M004,43
112,WO0048,2025-01-10,W01,M003,33
113,WO0048,2025-01-10,W01,M004,19
114,WO0049,2025-01-10,W05,M002,21
115,WO0049,2025-01-10,W05,M006,12
116,WO0050,2025-01-10,W03,M005,48
117,WO0050,2025-01-10,W03,M008,22
118,WO0051,2025-01-11,W03,M005,9
119,WO0051,2025-01-11,W03,M008,11
120,WO0052,2025-01-12,W05,M006,7
121,WO0052,2025-01-12,W05,M003,6
122,WO0053,2025-01-13,W03,M006,18
123,WO0053,2025-01-13,W03,M003,40
124,WO0053,2025-01-13,W03,M008,36
125,WO0054,2025-01-13,W05,M007,41
126,WO0054,2025-01-13,W05,M006,13
127,WO0054,2025-01-13,W05,M003,27
128,WO0055,2025-01-13,W01,M007,39
129,WO0055,2025-01-13,W01,M002,44
130,WO0055,2025-01-13,W01,M001,10
131,WO0055,2025-01-13,W01,M004,39
132,WO0056,2025-01-13,W01,M007,16
133,WO0056,2025-01-13,W01,M006,11
134,WO0056,2025-01-13,W01,M008,54
135,WO0057,2025-01-13,W01,M007,36
136,WO0057,2025-01-13,W01,M002,31
137,WO0057,2025-01-13,W01,M001,27
138,WO0057,2025-01-13,W01,M004,25
139,WO0058,2025-01-14,W04,M007,44
140,WO0058,2025-01-14,W04,M008,18
141,WO0059,2025-01-14,W03,M006,48
142,WO0059,2025-01-14,W03,M005,50
143,WO0060,2025-01-14,W02,M007,19
144,WO0060,2025-01-14,W02,M006,30
145,WO0060,2025-01-14,W02,M008,56
146,WO0061,2025-01-14,W05,M006,26
147,WO0061,2025-01-14,W05,M002,15
148,WO0061,2025-01-14,W05,M003,22
149,WO0062,2025-01-14,W02,M007,24
150,WO0062,2025-01-14,W02,M005,56
151,WO0062,2025-01-14,W02,M008,38
152,WO0062,2025-01-14,W02,M004,32
153,WO0063,2025-01-15,W03,M007,34
154,WO0063,2025-01-15,W03,M001,23
155,WO0064,2025-01-15,W03,M001,18
156,WO0064,2025-01-15,W03,M005,52
157,WO0064,2025-01-15,W03,M004,37
158,WO0065,2025-01-15,W01,M007,57
159,WO0065,2025-01-15,W01,M002,52
160,WO0065,2025-01-15,W01,M003,33
161,WO0066,2025-01-15,W02,M002,35
162,WO0066,2025-01-15,W02,M003,46
163,WO0066,2025-01-15,W02,M001,21
164,WO0067,2025-01-15,W03,M006,9
165,WO0067,2025-01-15,W03,M004,56
166,WO0068,2025-01-16,W02,M007,25
167,WO0068,2025-01-16,W02,M002,44
168,WO0068,2025-01-16,W02,M005,31
169,WO0069,2025-01-16,W01,M006,27
170,WO0069,2025-01-16,W01,M008,40
171,WO0069,2025-01-16,W01,M004,40
172,WO0070,2025-01-16,W01,M003,31
173,WO0070,2025-01-16,W01,M001,15
174,WO0070,2025-01-16,W01,M008,14
175,WO0071,2025-01-16,W05,M006,21
176,WO0071,2025-01-16,W05,M005,13
177,WO0071,2025-01-16,W05,M004,32
178,WO0072,2025-01-16,W05,M006,27
179,WO0072,2025-01-16,W05,M005,17
180,WO0073,2025-01-17,W04,M001,38
181,WO0073,2025-01-17,W04,M005,45
182,WO0074,2025-01-17,W03,M007,52
183,WO0074,2025-01-17,W03,M001,15
184,WO0075,2025-01-17,W01,M007,32
185,WO0075,2025-01-17,W01,M005,29
186,WO0076,2025-01-17,W05,M003,12
187,WO0076,2025-01-17,W05,M001,34
188,WO0076,2025-01-17,W05,M005,25
189,WO0077,2025-01-17,W05,M002,31
190,WO0077,2025-01-17,W05,M005,22
191,WO0078,2025-01-18,W02,M006,4
192,WO0078,2025-01-18,W02,M005,21
193,WO0079,2025-01-18,W01,M006,7
194,WO0079,2025-01-18,W01,M003,19
195,WO0080,2025-01-19,W01,M002,6
196,WO0080,2025-01-19,W01,M005,8
197,WO0080,2025-01-19,W01,M008,8
198,WO0081,2025-01-20,W05,M006,37
199,WO0082,2025-01-20,W05,M006,25
200,WO0082,2025-01-20,W05,M003,42
201,WO0083,2025-01-20,W04,M007,44
202,WO0083,2025-01-20,W04,M008,40
203,WO0084,2025-01-20,W04,M007,21
204,WO0084,2025-01-20,W04,M003,33
205,WO0084,2025-01-20,W04,M005,25
206,WO0084,2025-01-20,W04,M004,29
207,WO0085,2025-01-21,W03,M007,25
208,WO0085,2025-01-21,W03,M002,52
209,WO0085,2025-01-21,W03,M005,17
210,WO0086,2025-01-21,W03,M007,38
211,WO0086,2025-01-21,W03,M008,42
212,WO0087,2025-01-21,W05,M006,30
213,WO0087,2025-01-21,W05,M005,32
214,WO0088,2025-01-21,W05,M002,34
215,WO0088,2025-01-21,W05,M008,34
216,WO0089,2025-01-22,W02,M007,48
217,WO0089,2025-01-22,W02,M003,31
218,WO0090,2025-01-22,W05,M007,26
219,WO0090,2025-01-22,W05,M002,36
220,WO0090,2025-01-22,W05,M001,32
221,WO0091,2025-01-22,W02,M007,36
222,WO0091,2025-01-22,W02,M006,35
223,WO0092,2025-01-22,W04,M002,35
224,WO0092,2025-01-22,W04,M001,21
225,WO0092,2025-01-22,W04,M005,48
226,WO0093,2025-01-22,W02,M007,22
227,WO0093,2025-01-22,W02,M001,46
228,WO0093,2025-01-22,W02,M005,40
229,WO0094,2025-01-23,W01,M006,36
230,WO0094,2025-01-23,W01,M005,32
231,WO0094,2025-01-23,W01,M004,36
232,WO0095,2025-01-23,W04,M005,62
233,WO0095,2025-01-23,W04,M004,31
234,WO0096,2025-01-23,W02,M002,17
235,WO0096,2025-01-23,W02,M005,23
236,WO0096,2025-01-23,W02,M008,25
237,WO0097,2025-01-23,W02,M006,48
238,WO0097,2025-01-23,W02,M008,13
239,WO0097,2025-01-23,W02,M004,48
240,WO0098,2025-01-24,W05,M002,40
241,WO0099,2025-01-24,W05,M007,56
242,WO0099,2025-01-24,W05,M002,33
243,WO0099,2025-01-24,W05,M004,28
244,WO0100,2025-01-24,W05,M002,30
245,WO0100,2025-01-24,W05,M006,21
246,WO0100,2025-01-24,W05,M001,44
247,WO0100,2025-01-24,W05,M008,21
248,WO0101,2025-01-24,W01,M007,39
249,WO0101,2025-01-24,W01,M006,33
250,WO0101,2025-01-24,W01,M001,17
251,WO0102,2025-01-24,W01,M007,10
252,WO0103,2025-01-25,W03,M005,8
253,WO0103,2025-01-25,W03,M004,19
254,WO0104,2025-01-25,W01,M006,7
255,WO0104,2025-01-25,W01,M005,9
256,WO0104,2025-01-25,W01,M004,12
257,WO0105,2025-01-26,W01,M002,13
258,WO0105,2025-01-26,W01,M005,22
259,WO0106,2025-01-27,W05,M001,29
260,WO0106,2025-01-27,W05,M005,47
261,WO0106,2025-01-27,W05,M008,15
262,WO0107,2025-01-27,W02,M002,29
263,WO0107,2025-01-27,W02,M008,34
264,WO0108,2025-01-27,W05,M007,41
265,WO0109,2025-01-27,W04,M002,34
266,WO0109,2025-01-27,W04,M008,10
267,WO0109,2025-01-27,W04,M004,27
268,WO0110,2025-01-27,W03,M003,44
269,WO0110,2025-01-27,W03,M001,44
270,WO0110,2025-01-27,W03,M005,48
271,WO0111,2025-01-28,W04,M006,10
272,WO0111,2025-01-28,W04,M004,46
273,WO0112,2025-01-28,W02,M003,17
274,WO0112,2025-01-28,W02,M001,27
275,WO0112,2025-01-28,W02,M005,29
276,WO0112,2025-01-28,W02,M004,20
277,WO0113,2025-01-28,W02,M006,44
278,WO0113,2025-01-28,W02,M003,14
279,WO0114,2025-01-28,W03,M006,21
280,WO0114,2025-01-28,W03,M001,16
281,WO0114,2025-01-28,W03,M005,15
282,WO0114,2025-01-28,W03,M004,20
283,WO0115,2025-01-29,W05,M007,39
284,WO0115,2025-01-29,W05,M003,57
285,WO0115,2025-01-29,W05,M001,45
286,WO0116,2025-01-29,W04,M007,33
287,WO0116,2025-01-29,W04,M005,9
288,WO0116,2025-01-29,W04,M008,42
289,WO0117,2025-01-29,W01,M007,45
290,WO0117,2025-01-29,W01,M005,38
291,WO0118,2025-01-29,W02,M007,18
292,WO0118,2025-01-29,W02,M008,43
293,WO0119,2025-01-29,W01,M007,37
294,WO0119,2025-01-29,W01,M005,18
295,WO0120,2025-01-29,W04,M002,24
296,WO0120,2025-01-29,W04,M006,18
297,WO0120,2025-01-29,W04,M001,39
298,WO0121,2025-01-29,W04,M003,29
299,WO0121,2025-01-29,W04,M005,45
300,WO0121,2025-01-29,W04,M008,35
301,WO0122,2025-01-30,W04,M007,37
302,WO0122,2025-01-30,W04,M003,20
303,WO0123,2025-01-30,W02,M002,33
304,WO0123,2025-01-30,W02,M006,24
305,WO0123,2025-01-30,W02,M001,30
306,WO0123,2025-01-30,W02,M005,24
307,WO0124,2025-01-30,W04,M002,54
308,WO0125,2025-01-31,W02,M007,28
309,WO0125,2025-01-31,W02,M006,43
310,WO0125,2025-01-31,W02,M004,25
311,WO0126,2025-01-31,W03,M002,25
312,WO0126,2025-01-31,W03,M003,10
313,WO0127,2025-01-31,W05,M002,29
314,WO0127,2025-01-31,W05,M008,20
315,WO0128,2025-01-31,W03,M007,30
316,WO0128,2025-01-31,W03,M001,13
317,WO0128,2025-01-31,W03,M005,40
318,WO0129,2025-01-31,W05,M002,51
319,WO0129,2025-01-31,W05,M005,24
320,WO0130,2025-01-31,W02,M006,19
321,WO0130,2025-01-31,W02,M002,38
322,WO0130,2025-01-31,W02,M003,51
323,WO0131,2025-02-01,W04,M007,10
324,WO0131,2025-02-01,W04,M001,13
325,WO0131,2025-02-01,W04,M005,4
326,WO0132,2025-02-02,W01,M007,18
327,WO0132,2025-02-02,W01,M003,11
328,WO0132,2025-02-02,W01,M005,7
329,WO0133,2025-02-02,W01,M002,9
330,WO0133,2025-02-02,W01,M006,9
331,WO0133,2025-02-02,W01,M004,7
332,WO0134,2025-02-03,W03,M006,48
333,WO0134,2025-02-03,W03,M003,25
334,WO0134,2025-02-03,W03,M001,57
335,WO0135,2025-02-03,W02,M001,49
336,WO0135,2025-02-03,W02,M005,35
337,WO0136,2025-02-03,W03,M006,34
338,WO0136,2025-02-03,W03,M003,39
339,WO0136,2025-02-03,W03,M001,39
340,WO0137,2025-02-03,W04,M006,40
341,WO0138,2025-02-03,W05,M002,15
342,WO0138,2025-02-03,W05,M005,24
343,WO0138,2025-02-03,W05,M008,37
344,WO0139,2025-02-03,W02,M007,34
345,WO0139,2025-02-03,W02,M002,9
346,WO0140,2025-02-04,W03,M003,37
347,WO0140,2025-02-04,W03,M008,23
348,WO0140,2025-02-04,W03,M004,17
349,WO0141,2025-02-04,W05,M006,20
350,WO0141,2025-02-04,W05,M005,46
351,WO0141,2025-02-04,W05,M008,11
352,WO0141,2025-02-04,W05,M004,22
353,WO0142,2025-02-04,W03,M007,11
354,WO0142,2025-02-04,W03,M003,35
355,WO0142,2025-02-04,W03,M001,11
356,WO0143,2025-02-05,W03,M001,35
357,WO0143,2025-02-05,W03,M005,24
358,WO0144,2025-02-05,W02,M005,48
359,WO0144,2025-02-05,W02,M008,10
360,WO0145,2025-02-05,W03,M007,10
361,WO0145,2025-02-05,W03,M001,23
362,WO0146,2025-02-05,W01,M002,21
363,WO0146,2025-02-05,W01,M006,42
364,WO0147,2025-02-06,W01,M007,10
365,WO0147,2025-02-06,W01,M001,29
366,WO0147,2025-02-06,W01,M008,40
367,WO0148,2025-02-06,W03,M002,40
368,WO0148,2025-02-06,W03,M001,51
369,WO0148,2025-02-06,W03,M005,34
370,WO0148,2025-02-06,W03,M008,29
371,WO0149,2025-02-06,W04,M003,34
372,WO0149,2025-02-06,W04,M005,10
373,WO0150,2025-02-07,W03,M002,13
374,WO0150,2025-02-07,W03,M005,42
375,WO0150,2025-02-07,W03,M008,17
376,WO0151,2025-02-07,W05,M002,11
377,WO0151,2025-02-07,W05,M006,28
378,WO0152,2025-02-07,W03,M006,43
379,WO0152,2025-02-07,W03,M008,45
380,WO0152,2025-02-07,W03,M004,34
381,WO0153,2025-02-07,W04,M008,31
382,WO0154,2025-02-08,W01,M007,5
383,WO0154,2025-02-08,W01,M003,15
384,WO0154,2025-02-08,W01,M001,17
385,WO0155,2025-02-09,W04,M002,7
386,WO0155,2025-02-09,W04,M005,17
387,WO0156,2025-02-10,W01,M002,28
388,WO0156,2025-02-10,W01,M003,18
389,WO0157,2025-02-10,W04,M007,19
390,WO0157,2025-02-10,W04,M002,44
391,WO0157,2025-02-10,W04,M004,8
392,WO0158,2025-02-10,W04,M002,34
393,WO0158,2025-02-10,W04,M008,13
394,WO0159,2025-02-10,W02,M002,29
395,WO0159,2025-02-10,W02,M001,33
396,WO0159,2025-02-10,W02,M004,11
397,WO0160,2025-02-10,W02,M005,22
398,WO0160,2025-02-10,W02,M004,34
399,WO0161,2025-02-11,W02,M003,45
400,WO0161,2025-02-11,W02,M008,18
401,WO0161,2025-02-11,W02,M004,8
402,WO0162,2025-02-11,W04,M006,14
403,WO0162,2025-02-11,W04,M008,45
404,WO0163,2025-02-11,W03,M002,26
405,WO0163,2025-02-11,W03,M003,22
406,WO0163,2025-02-11,W03,M004,39
407,WO0164,2025-02-11,W05,M005,28
408,WO0164,2025-02-11,W05,M004,43
409,WO0165,2025-02-11,W05,M006,24
410,WO0165,2025-02-11,W05,M001,40
411,WO0166,2025-02-12,W03,M003,50
412,WO0166,2025-02-12,W03,M004,14
413,WO0167,2025-02-12,W05,M006,21
414,WO0167,2025-02-12,W05,M005,45
415,WO0168,2025-02-12,W02,M002,15
416,WO0168,2025-02-12,W02,M008,14
417,WO0169,2025-02-12,W02,M006,16
418,WO0169,2025-02-12,W02,M001,9
419,WO0169,2025-02-12,W02,M008,40
420,WO0170,2025-02-12,W01,M007,40
421,WO0170,2025-02-12,W01,M005,27
422,WO0171,2025-02-12,W03,M006,32
423,WO0172,2025-02-12,W02,M005,16
424,WO0172,2025-02-12,W02,M008,22
425,WO0172,2025-02-12,W02,M004,47
426,WO0173,2025-02-13,W04,M007,27
427,WO0173,2025-02-13,W04,M002,36
428,WO0173,2025-02-13,W04,M006,16
429,WO0174,2025-02-13,W03,M007,35
430,WO0174,2025-02-13,W03,M006,34
431,WO0174,2025-02-13,W03,M008,21
432,WO0175,2025-02-13,W03,M007,17
433,WO0176,2025-02-13,W01,M002,33
434,WO0176,2025-02-13,W01,M003,10
435,WO0176,2025-02-13,W01,M005,44
436,WO0177,2025-02-14,W04,M003,22
437,WO0177,2025-02-14,W04,M001,21
438,WO0178,2025-02-14,W05,M001,48
439,WO0178,2025-02-14,W05,M005,28
440,WO0179,2025-02-14,W02,M002,25
441,WO0179,2025-02-14,W02,M006,37
442,WO0180,2025-02-14,W05,M001,46
443,WO0181,2025-02-14,W05,M003,7
444,WO0181,2025-02-14,W05,M005,15
445,WO0182,2025-02-14,W02,M002,41
446,WO0182,2025-02-14,W02,M001,52
447,WO0182,2025-02-14,W02,M005,31
448,WO0183,2025-02-15,W02,M007,15
449,WO0183,2025-02-15,W02,M006,6
450,WO0184,2025-02-15,W01,M005,23
451,WO0184,2025-02-15,W01,M004,9
452,WO0185,2025-02-16,W02,M003,14
453,WO0185,2025-02-16,W02,M008,18
454,WO0186,2025-02-17,W03,M005,19
455,WO0186,2025-02-17,W03,M008,30
456,WO0186,2025-02-17,W03,M004,36
457,WO0187,2025-02-17,W01,M002,32
458,WO0187,2025-02-17,W01,M003,16
459,WO0187,2025-02-17,W01,M005,25
460,WO0188,2025-02-17,W04,M003,45
461,WO0188,2025-02-17,W04,M005,14
462,WO0189,2025-02-17,W01,M007,43
463,WO0189,2025-02-17,W01,M002,25
464,WO0189,2025-02-17,W01,M001,23
465,WO0190,2025-02-17,W05,M006,28
466,WO0190,2025-02-17,W05,M005,20
467,WO0191,2025-02-18,W03,M002,41
468,WO0191,2025-02-18,W03,M003,14
469,WO0191,2025-02-18,W03,M001,21
470,WO0192,2025-02-18,W05,M007,19
471,WO0192,2025-02-18,W05,M006,9
472,WO0193,2025-02-18,W03,M007,18
473,WO0193,2025-02-18,W03,M006,27
474,WO0194,2025-02-19,W02,M007,15
475,WO0194,2025-02-19,W02,M001,14
476,WO0195,2025-02-19,W05,M007,35
477,WO0195,2025-02-19,W05,M008,25
478,WO0196,2025-02-19,W05,M006,48
479,WO0197,2025-02-19,W01,M005,49
480,WO0197,2025-02-19,W01,M008,44
481,WO0198,2025-02-19,W01,M007,15
482,WO0198,2025-02-19,W01,M008,9
483,WO0198,2025-02-19,W01,M004,16
484,WO0199,2025-02-20,W03,M007,19
485,WO0199,2025-02-20,W03,M005,56
486,WO0199,2025-02-20,W03,M004,18
487,WO0200,2025-02-20,W04,M007,39
488,WO0200,2025-02-20,W04,M002,12
489,WO0200,2025-02-20,W04,M006,13
490,WO0201,2025-02-20,W02,M007,29
491,WO0201,2025-02-20,W02,M002,48
492,WO0201,2025-02-20,W02,M004,32
493,WO0202,2025-02-20,W04,M001,54
494,WO0202,2025-02-20,W04,M008,14
495,WO0203,2025-02-20,W04,M006,20
496,WO0203,2025-02-20,W04,M003,29
497,WO0203,2025-02-20,W04,M005,15
498,WO0204,2025-02-21,W05,M003,27
499,WO0205,2025-02-21,W03,M003,9
500,WO0205,2025-02-21,W03,M008,43
501,WO0206,2025-02-21,W02,M002,31
502,WO0206,2025-02-21,W02,M004,25
503,WO0207,2025-02-21,W02,M006,29
504,WO0207,2025-02-21,W02,M008,19
505,WO0207,2025-02-21,W02,M004,11
506,WO0208,2025-02-22,W05,M006,11
507,WO0208,2025-02-22,W05,M004,9
508,WO0209,2025-02-23,W02,M002,11
509,WO0209,2025-02-23,W02,M006,12
510,WO0210,2025-02-23,W01,M002,10
511,WO0210,2025-02-23,W01,M001,20
512,WO0210,2025-02-23,W01,M008,6
513,WO0211,2025-02-24,W04,M006,23
514,WO0211,2025-02-24,W04,M005,27
515,WO0212,2025-02-24,W03,M003,39
516,WO0212,2025-02-24,W03,M005,13
517,WO0212,2025-02-24,W03,M004,17
518,WO0213,2025-02-24,W01,M002,29
519,WO0213,2025-02-24,W01,M006,24
520,WO0214,2025-02-24,W03,M006,40
521,WO0214,2025-02-24,W03,M008,27
522,WO0215,2025-02-24,W01,M007,24
523,WO0215,2025-02-24,W01,M003,34
524,WO0216,2025-02-25,W04,M003,16
525,WO0216,2025-02-25,W04,M008,35
526,WO0217,2025-02-25,W04,M007,21
527,WO0217,2025-02-25,W04,M003,24
528,WO0217,2025-02-25,W04,M005,23
529,WO0218,2025-02-25,W03,M006,19
530,WO0218,2025-02-25,W03,M003,58
531,WO0219,2025-02-25,W02,M003,50
532,WO0219,2025-02-25,W02,M004,38
533,WO0220,2025-02-25,W05,M007,33
534,WO0220,2025-02-25,W05,M002,23
535,WO0220,2025-02-25,W05,M005,56
536,WO0221,2025-02-25,W05,M006,25
537,WO0221,2025-02-25,W05,M005,46
538,WO0221,2025-02-25,W05,M008,9
539,WO0222,2025-02-25,W04,M001,11
540,WO0222,2025-02-25,W04,M004,20
541,WO0223,2025-02-26,W03,M001,14
542,WO0223,2025-02-26,W03,M005,26
543,WO0224,2025-02-26,W03,M005,30
544,WO0224,2025-02-26,W03,M004,39
545,WO0225,2025-02-26,W05,M007,20
546,WO0225,2025-02-26,W05,M005,17
547,WO0226,2025-02-27,W03,M006,30
548,WO0226,2025-02-27,W03,M005,23
549,WO0226,2025-02-27,W03,M008,26
550,WO0227,2025-02-27,W03,M003,13
551,WO0227,2025-02-27,W03,M001,24
552,WO0228,2025-02-27,W03,M002,52
553,WO0228,2025-02-27,W03,M006,45
554,WO0228,2025-02-27,W03,M001,44
555,WO0229,2025-02-27,W02,M007,38
556,WO0229,2025-02-27,W02,M005,26
557,WO0230,2025-02-27,W03,M007,32
558,WO0230,2025-02-27,W03,M005,40
559,WO0230,2025-02-27,W03,M004,19
560,WO0231,2025-02-27,W03,M007,19
561,WO0231,2025-02-27,W03,M008,32
562,WO0231,2025-02-27,W03,M004,10
563,WO0232,2025-02-27,W02,M002,27
564,WO0232,2025-02-27,W02,M001,46
565,WO0232,2025-02-27,W02,M004,39
566,WO0233,2025-02-28,W05,M002,20
567,WO0233,2025-02-28,W05,M001,39
568,WO0234,2025-02-28,W05,M002,33
569,WO0234,2025-02-28,W05,M005,30
570,WO0235,2025-02-28,W01,M003,17
571,WO0235,2025-02-28,W01,M001,33
572,WO0236,2025-02-28,W05,M004,19
573,WO0237,2025-02-28,W05,M006,14
574,WO0238,2025-02-28,W02,M007,43
575,WO0238,2025-02-28,W02,M005,45
576,WO0239,2025-03-01,W02,M007,7
577,WO0239,2025-03-01,W02,M003,13
578,WO0239,2025-03-01,W02,M005,13
579,WO0240,2025-03-01,W05,M007,10
580,WO0240,2025-03-01,W05,M002,14
581,WO0240,2025-03-01,W05,M001,17
582,WO0240,2025-03-01,W05,M005,7
583,WO0241,2025-03-02,W01,M002,18
584,WO0241,2025-03-02,W01,M003,15
585,WO0241,2025-03-02,W01,M004,8
586,WO0242,2025-03-02,W03,M001,19
587,WO0242,2025-03-02,W03,M008,21
588,WO0243,2025-03-03,W01,M002,44
589,WO0243,2025-03-03,W01,M005,16
590,WO0243,2025-03-03,W01,M004,40
591,WO0244,2025-03-03,W01,M006,43
592,WO0244,2025-03-03,W01,M008,50
593,WO0245,2025-03-03,W03,M001,13
594,WO0245,2025-03-03,W03,M005,10
595,WO0246,2025-03-04,W04,M006,13
596,WO0246,2025-03-04,W04,M003,25
597,WO0246,2025-03-04,W04,M004,22
598,WO0247,2025-03-04,W05,M002,23
599,WO0247,2025-03-04,W05,M003,18
600,WO0247,2025-03-04,W05,M005,45
601,WO0248,2025-03-04,W04,M002,36
602,WO0248,2025-03-04,W04,M001,26
603,WO0249,2025-03-04,W02,M002,27
604,WO0249,2025-03-04,W02,M003,35
605,WO0249,2025-03-04,W02,M001,23
606,WO0250,2025-03-05,W03,M006,13
607,WO0250,2025-03-05,W03,M005,31
608,WO0251,2025-03-05,W03,M006,27
609,WO0251,2025-03-05,W03,M008,23
610,WO0252,2025-03-05,W05,M007,12
611,WO0252,2025-03-05,W05,M002,28
612,WO0252,2025-03-05,W05,M008,41
613,WO0253,2025-03-06,W03,M007,14
614,WO0253,2025-03-06,W03,M005,22
615,WO0253,2025-03-06,W03,M004,9
616,WO0254,2025-03-06,W01,M005,39
617,WO0254,2025-03-06,W01,M008,20
618,WO0255,2025-03-06,W04,M003,20
619,WO0255,2025-03-06,W04,M008,23
620,WO0256,2025-03-06,W01,M008,24
621,WO0256,2025-03-06,W01,M004,15
622,WO0257,2025-03-06,W01,M006,47
623,WO0257,2025-03-06,W01,M005,10
624,WO0258,2025-03-06,W05,M007,35
625,WO0258,2025-03-06,W05,M002,17
626,WO0258,2025-03-06,W05,M003,53
627,WO0259,2025-03-07,W02,M001,28
628,WO0259,2025-03-07,W02,M005,35
629,WO0259,2025-03-07,W02,M004,15
630,WO0260,2025-03-07,W04,M007,21
631,WO0260,2025-03-07,W04,M004,13
632,WO0261,2025-03-07,W03,M006,32
633,WO0262,2025-03-07,W03,M005,38
