record_id,work_order_id,record_date,workstation_id,material_id,consume_qty,weekday,month
94,WO0040,2025-01-09,W02,M004,29,3,1
95,WO0041,2025-01-09,W01,M008,45,3,1
96,WO0041,2025-01-09,W01,M004,60,3,1
97,WO0042,2025-01-09,W01,M007,38,3,1
98,WO0042,2025-01-09,W01,M008,50,3,1
99,WO0042,2025-01-09,W01,M004,19,3,1
100,WO0043,2025-01-09,W01,M007,23,3,1
101,WO0043,2025-01-09,W01,M006,12,3,1
102,WO0044,2025-01-10,W05,M002,9,4,1
103,WO0044,2025-01-10,W05,M006,34,4,1
104,WO0045,2025-01-10,W03,M002,46,4,1
105,WO0045,2025-01-10,W03,M008,39,4,1
106,WO0045,2025-01-10,W03,M004,39,4,1
107,WO0046,2025-01-10,W02,M002,9,4,1
108,WO0046,2025-01-10,W02,M005,13,4,1
109,WO0046,2025-01-10,W02,M004,40,4,1
110,WO0047,2025-01-10,W01,M007,38,4,1
111,WO0047,2025-01-10,W01,M004,43,4,1
112,WO0048,2025-01-10,W01,M003,33,4,1
113,WO0048,2025-01-10,W01,M004,19,4,1
114,WO0049,2025-01-10,W05,M002,21,4,1
115,WO0049,2025-01-10,W05,M006,12,4,1
116,WO0050,2025-01-10,W03,M005,48,4,1
117,WO0050,2025-01-10,W03,M008,22,4,1
118,WO0051,2025-01-11,W03,M005,9,5,1
119,WO0051,2025-01-11,W03,M008,11,5,1
120,WO0052,2025-01-12,W05,M006,7,6,1
121,WO0052,2025-01-12,W05,M003,6,6,1
122,WO0053,2025-01-13,W03,M006,18,0,1
123,WO0053,2025-01-13,W03,M003,40,0,1
124,WO0053,2025-01-13,W03,M008,36,0,1
125,WO0054,2025-01-13,W05,M007,41,0,1
126,WO0054,2025-01-13,W05,M006,13,0,1
127,WO0054,2025-01-13,W05,M003,27,0,1
128,WO0055,2025-01-13,W01,M007,39,0,1
129,WO0055,2025-01-13,W01,M002,44,0,1
130,WO0055,2025-01-13,W01,M001,10,0,1
131,WO0055,2025-01-13,W01,M004,39,0,1
132,WO0056,2025-01-13,W01,M007,16,0,1
133,WO0056,2025-01-13,W01,M006,11,0,1
134,WO0056,2025-01-13,W01,M008,54,0,1
135,WO0057,2025-01-13,W01,M007,36,0,1
136,WO0057,2025-01-13,W01,M002,31,0,1
137,WO0057,2025-01-13,W01,M001,27,0,1
138,WO0057,2025-01-13,W01,M004,25,0,1
139,WO0058,2025-01-14,W04,M007,44,1,1
140,WO0058,2025-01-14,W04,M008,18,1,1
141,WO0059,2025-01-14,W03,M006,48,1,1
142,WO0059,2025-01-14,W03,M005,50,1,1
143,WO0060,2025-01-14,W02,M007,19,1,1
144,WO0060,2025-01-14,W02,M006,30,1,1
145,WO0060,2025-01-14,W02,M008,56,1,1
146,WO0061,2025-01-14,W05,M006,26,1,1
147,WO0061,2025-01-14,W05,M002,15,1,1
148,WO0061,2025-01-14,W05,M003,22,1,1
149,WO0062,2025-01-14,W02,M007,24,1,1
150,WO0062,2025-01-14,W02,M005,56,1,1
151,WO0062,2025-01-14,W02,M008,38,1,1
152,WO0062,2025-01-14,W02,M004,32,1,1
153,WO0063,2025-01-15,W03,M007,34,2,1
154,WO0063,2025-01-15,W03,M001,23,2,1
155,WO0064,2025-01-15,W03,M001,18,2,1
156,WO0064,2025-01-15,W03,M005,52,2,1
157,WO0064,2025-01-15,W03,M004,37,2,1
158,WO0065,2025-01-15,W01,M007,57,2,1
159,WO0065,2025-01-15,W01,M002,52,2,1
160,WO0065,2025-01-15,W01,M003,33,2,1
161,WO0066,2025-01-15,W02,M002,35,2,1
162,WO0066,2025-01-15,W02,M003,46,2,1
163,WO0066,2025-01-15,W02,M001,21,2,1
164,WO0067,2025-01-15,W03,M006,9,2,1
165,WO0067,2025-01-15,W03,M004,56,2,1
166,WO0068,2025-01-16,W02,M007,25,3,1
167,WO0068,2025-01-16,W02,M002,44,3,1
168,WO0068,2025-01-16,W02,M005,31,3,1
169,WO0069,2025-01-16,W01,M006,27,3,1
170,WO0069,2025-01-16,W01,M008,40,3,1
171,WO0069,2025-01-16,W01,M004,40,3,1
172,WO0070,2025-01-16,W01,M003,31,3,1
173,WO0070,2025-01-16,W01,M001,15,3,1
174,WO0070,2025-01-16,W01,M008,14,3,1
175,WO0071,2025-01-16,W05,M006,21,3,1
176,WO0071,2025-01-16,W05,M005,13,3,1
177,WO0071,2025-01-16,W05,M004,32,3,1
178,WO0072,2025-01-16,W05,M006,27,3,1
179,WO0072,2025-01-16,W05,M005,17,3,1
180,WO0073,2025-01-17,W04,M001,38,4,1
181,WO0073,2025-01-17,W04,M005,45,4,1
182,WO0074,2025-01-17,W03,M007,52,4,1
183,WO0074,2025-01-17,W03,M001,15,4,1
184,WO0075,2025-01-17,W01,M007,32,4,1
185,WO0075,2025-01-17,W01,M005,29,4,1
186,WO0076,2025-01-17,W05,M003,12,4,1
187,WO0076,2025-01-17,W05,M001,34,4,1
188,WO0076,2025-01-17,W05,M005,25,4,1
189,WO0077,2025-01-17,W05,M002,31,4,1
190,WO0077,2025-01-17,W05,M005,22,4,1
191,WO0078,2025-01-18,W02,M006,4,5,1
192,WO0078,2025-01-18,W02,M005,21,5,1
193,WO0079,2025-01-18,W01,M006,7,5,1
194,WO0079,2025-01-18,W01,M003,19,5,1
195,WO0080,2025-01-19,W01,M002,6,6,1
196,WO0080,2025-01-19,W01,M005,8,6,1
197,WO0080,2025-01-19,W01,M008,8,6,1
198,WO0081,2025-01-20,W05,M006,37,0,1
199,WO0082,2025-01-20,W05,M006,25,0,1
200,WO0082,2025-01-20,W05,M003,42,0,1
201,WO0083,2025-01-20,W04,M007,44,0,1
202,WO0083,2025-01-20,W04,M008,40,0,1
203,WO0084,2025-01-20,W04,M007,21,0,1
204,WO0084,2025-01-20,W04,M003,33,0,1
205,WO0084,2025-01-20,W04,M005,25,0,1
206,WO0084,2025-01-20,W04,M004,29,0,1
207,WO0085,2025-01-21,W03,M007,25,1,1
208,WO0085,2025-01-21,W03,M002,52,1,1
209,WO0085,2025-01-21,W03,M005,17,1,1
210,WO0086,2025-01-21,W03,M007,38,1,1
211,WO0086,2025-01-21,W03,M008,42,1,1
212,WO0087,2025-01-21,W05,M006,30,1,1
213,WO0087,2025-01-21,W05,M005,32,1,1
214,WO0088,2025-01-21,W05,M002,34,1,1
215,WO0088,2025-01-21,W05,M008,34,1,1
216,WO0089,2025-01-22,W02,M007,48,2,1
217,WO0089,2025-01-22,W02,M003,31,2,1
218,WO0090,2025-01-22,W05,M007,26,2,1
219,WO0090,2025-01-22,W05,M002,36,2,1
220,WO0090,2025-01-22,W05,M001,32,2,1
221,WO0091,2025-01-22,W02,M007,36,2,1
222,WO0091,2025-01-22,W02,M006,35,2,1
223,WO0092,2025-01-22,W04,M002,35,2,1
224,WO0092,2025-01-22,W04,M001,21,2,1
225,WO0092,2025-01-22,W04,M005,48,2,1
226,WO0093,2025-01-22,W02,M007,22,2,1
227,WO0093,2025-01-22,W02,M001,46,2,1
228,WO0093,2025-01-22,W02,M005,40,2,1
229,WO0094,2025-01-23,W01,M006,36,3,1
230,WO0094,2025-01-23,W01,M005,32,3,1
231,WO0094,2025-01-23,W01,M004,36,3,1
232,WO0095,2025-01-23,W04,M005,62,3,1
233,WO0095,2025-01-23,W04,M004,31,3,1
234,WO0096,2025-01-23,W02,M002,17,3,1
235,WO0096,2025-01-23,W02,M005,23,3,1
236,WO0096,2025-01-23,W02,M008,25,3,1
237,WO0097,2025-01-23,W02,M006,48,3,1
238,WO0097,2025-01-23,W02,M008,13,3,1
239,WO0097,2025-01-23,W02,M004,48,3,1
240,WO0098,2025-01-24,W05,M002,40,4,1
241,WO0099,2025-01-24,W05,M007,56,4,1
242,WO0099,2025-01-24,W05,M002,33,4,1
243,WO0099,2025-01-24,W05,M004,28,4,1
244,WO0100,2025-01-24,W05,M002,30,4,1
245,WO0100,2025-01-24,W05,M006,21,4,1
246,WO0100,2025-01-24,W05,M001,44,4,1
247,WO0100,2025-01-24,W05,M008,21,4,1
248,WO0101,2025-01-24,W01,M007,39,4,1
249,WO0101,2025-01-24,W01,M006,33,4,1
250,WO0101,2025-01-24,W01,M001,17,4,1
251,WO0102,2025-01-24,W01,M007,10,4,1
252,WO0103,2025-01-25,W03,M005,8,5,1
253,WO0103,2025-01-25,W03,M004,19,5,1
254,WO0104,2025-01-25,W01,M006,7,5,1
255,WO0104,2025-01-25,W01,M005,9,5,1
256,WO0104,2025-01-25,W01,M004,12,5,1
257,WO0105,2025-01-26,W01,M002,13,6,1
258,WO0105,2025-01-26,W01,M005,22,6,1
259,WO0106,2025-01-27,W05,M001,29,0,1
260,WO0106,2025-01-27,W05,M005,47,0,1
261,WO0106,2025-01-27,W05,M008,15,0,1
262,WO0107,2025-01-27,W02,M002,29,0,1
263,WO0107,2025-01-27,W02,M008,34,0,1
264,WO0108,2025-01-27,W05,M007,41,0,1
265,WO0109,2025-01-27,W04,M002,34,0,1
266,WO0109,2025-01-27,W04,M008,10,0,1
267,WO0109,2025-01-27,W04,M004,27,0,1
268,WO0110,2025-01-27,W03,M003,44,0,1
269,WO0110,2025-01-27,W03,M001,44,0,1
270,WO0110,2025-01-27,W03,M005,48,0,1
271,WO0111,2025-01-28,W04,M006,10,1,1
272,WO0111,2025-01-28,W04,M004,46,1,1
273,WO0112,2025-01-28,W02,M003,17,1,1
274,WO0112,2025-01-28,W02,M001,27,1,1
275,WO0112,2025-01-28,W02,M005,29,1,1
276,WO0112,2025-01-28,W02,M004,20,1,1
277,WO0113,2025-01-28,W02,M006,44,1,1
278,WO0113,2025-01-28,W02,M003,14,1,1
279,WO0114,2025-01-28,W03,M006,21,1,1
280,WO0114,2025-01-28,W03,M001,16,1,1
281,WO0114,2025-01-28,W03,M005,15,1,1
282,WO0114,2025-01-28,W03,M004,20,1,1
283,WO0115,2025-01-29,W05,M007,39,2,1
284,WO0115,2025-01-29,W05,M003,57,2,1
285,WO0115,2025-01-29,W05,M001,45,2,1
286,WO0116,2025-01-29,W04,M007,33,2,1
287,WO0116,2025-01-29,W04,M005,9,2,1
288,WO0116,2025-01-29,W04,M008,42,2,1
289,WO0117,2025-01-29,W01,M007,45,2,1
290,WO0117,2025-01-29,W01,M005,38,2,1
291,WO0118,2025-01-29,W02,M007,18,2,1
292,WO0118,2025-01-29,W02,M008,43,2,1
293,WO0119,2025-01-29,W01,M007,37,2,1
294,WO0119,2025-01-29,W01,M005,18,2,1
295,WO0120,2025-01-29,W04,M002,24,2,1
296,WO0120,2025-01-29,W04,M006,18,2,1
297,WO0120,2025-01-29,W04,M001,39,2,1
298,WO0121,2025-01-29,W04,M003,29,2,1
299,WO0121,2025-01-29,W04,M005,45,2,1
300,WO0121,2025-01-29,W04,M008,35,2,1
301,WO0122,2025-01-30,W04,M007,37,3,1
302,WO0122,2025-01-30,W04,M003,20,3,1
303,WO0123,2025-01-30,W02,M002,33,3,1
304,WO0123,2025-01-30,W02,M006,24,3,1
305,WO0123,2025-01-30,W02,M001,30,3,1
306,WO0123,2025-01-30,W02,M005,24,3,1
307,WO0124,2025-01-30,W04,M002,54,3,1
308,WO0125,2025-01-31,W02,M007,28,4,1
309,WO0125,2025-01-31,W02,M006,43,4,1
310,WO0125,2025-01-31,W02,M004,25,4,1
311,WO0126,2025-01-31,W03,M002,25,4,1
312,WO0126,2025-01-31,W03,M003,10,4,1
313,WO0127,2025-01-31,W05,M002,29,4,1
314,WO0127,2025-01-31,W05,M008,20,4,1
315,WO0128,2025-01-31,W03,M007,30,4,1
316,WO0128,2025-01-31,W03,M001,13,4,1
317,WO0128,2025-01-31,W03,M005,40,4,1
318,WO0129,2025-01-31,W05,M002,51,4,1
319,WO0129,2025-01-31,W05,M005,24,4,1
320,WO0130,2025-01-31,W02,M006,19,4,1
321,WO0130,2025-01-31,W02,M002,38,4,1
322,WO0130,2025-01-31,W02,M003,51,4,1
323,WO0131,2025-02-01,W04,M007,10,5,2
324,WO0131,2025-02-01,W04,M001,13,5,2
325,WO0131,2025-02-01,W04,M005,4,5,2
326,WO0132,2025-02-02,W01,M007,18,6,2
327,WO0132,2025-02-02,W01,M003,11,6,2
328,WO0132,2025-02-02,W01,M005,7,6,2
329,WO0133,2025-02-02,W01,M002,9,6,2
330,WO0133,2025-02-02,W01,M006,9,6,2
331,WO0133,2025-02-02,W01,M004,7,6,2
332,WO0134,2025-02-03,W03,M006,48,0,2
333,WO0134,2025-02-03,W03,M003,25,0,2
334,WO0134,2025-02-03,W03,M001,57,0,2
335,WO0135,2025-02-03,W02,M001,49,0,2
336,WO0135,2025-02-03,W02,M005,35,0,2
337,WO0136,2025-02-03,W03,M006,34,0,2
338,WO0136,2025-02-03,W03,M003,39,0,2
339,WO0136,2025-02-03,W03,M001,39,0,2
340,WO0137,2025-02-03,W04,M006,40,0,2
341,WO0138,2025-02-03,W05,M002,15,0,2
342,WO0138,2025-02-03,W05,M005,24,0,2
343,WO0138,2025-02-03,W05,M008,37,0,2
344,WO0139,2025-02-03,W02,M007,34,0,2
345,WO0139,2025-02-03,W02,M002,9,0,2
346,WO0140,2025-02-04,W03,M003,37,1,2
347,WO0140,2025-02-04,W03,M008,23,1,2
348,WO0140,2025-02-04,W03,M004,17,1,2
349,WO0141,2025-02-04,W05,M006,20,1,2
350,WO0141,2025-02-04,W05,M005,46,1,2
351,WO0141,2025-02-04,W05,M008,11,1,2
352,WO0141,2025-02-04,W05,M004,22,1,2
353,WO0142,2025-02-04,W03,M007,11,1,2
354,WO0142,2025-02-04,W03,M003,35,1,2
355,WO0142,2025-02-04,W03,M001,11,1,2
356,WO0143,2025-02-05,W03,M001,35,2,2
357,WO0143,2025-02-05,W03,M005,24,2,2
358,WO0144,2025-02-05,W02,M005,48,2,2
359,WO0144,2025-02-05,W02,M008,10,2,2
360,WO0145,2025-02-05,W03,M007,10,2,2
361,WO0145,2025-02-05,W03,M001,23,2,2
362,WO0146,2025-02-05,W01,M002,21,2,2
363,WO0146,2025-02-05,W01,M006,42,2,2
364,WO0147,2025-02-06,W01,M007,10,3,2
365,WO0147,2025-02-06,W01,M001,29,3,2
366,WO0147,2025-02-06,W01,M008,40,3,2
367,WO0148,2025-02-06,W03,M002,40,3,2
368,WO0148,2025-02-06,W03,M001,51,3,2
369,WO0148,2025-02-06,W03,M005,34,3,2
370,WO0148,2025-02-06,W03,M008,29,3,2
371,WO0149,2025-02-06,W04,M003,34,3,2
372,WO0149,2025-02-06,W04,M005,10,3,2
373,WO0150,2025-02-07,W03,M002,13,4,2
374,WO0150,2025-02-07,W03,M005,42,4,2
375,WO0150,2025-02-07,W03,M008,17,4,2
376,WO0151,2025-02-07,W05,M002,11,4,2
377,WO0151,2025-02-07,W05,M006,28,4,2
378,WO0152,2025-02-07,W03,M006,43,4,2
379,WO0152,2025-02-07,W03,M008,45,4,2
380,WO0152,2025-02-07,W03,M004,34,4,2
381,WO0153,2025-02-07,W04,M008,31,4,2
382,WO0154,2025-02-08,W01,M007,5,5,2
383,WO0154,2025-02-08,W01,M003,15,5,2
384,WO0154,2025-02-08,W01,M001,17,5,2
385,WO0155,2025-02-09,W04,M002,7,6,2
386,WO0155,2025-02-09,W04,M005,17,6,2
387,WO0156,2025-02-10,W01,M002,28,0,2
388,WO0156,2025-02-10,W01,M003,18,0,2
389,WO0157,2025-02-10,W04,M007,19,0,2
390,WO0157,2025-02-10,W04,M002,44,0,2
391,WO0157,2025-02-10,W04,M004,8,0,2
392,WO0158,2025-02-10,W04,M002,34,0,2
393,WO0158,2025-02-10,W04,M008,13,0,2
394,WO0159,2025-02-10,W02,M002,29,0,2
395,WO0159,2025-02-10,W02,M001,33,0,2
396,WO0159,2025-02-10,W02,M004,11,0,2
397,WO0160,2025-02-10,W02,M005,22,0,2
398,WO0160,2025-02-10,W02,M004,34,0,2
399,WO0161,2025-02-11,W02,M003,45,1,2
400,WO0161,2025-02-11,W02,M008,18,1,2
401,WO0161,2025-02-11,W02,M004,8,1,2
402,WO0162,2025-02-11,W04,M006,14,1,2
403,WO0162,2025-02-11,W04,M008,45,1,2
404,WO0163,2025-02-11,W03,M002,26,1,2
405,WO0163,2025-02-11,W03,M003,22,1,2
406,WO0163,2025-02-11,W03,M004,39,1,2
407,WO0164,2025-02-11,W05,M005,28,1,2
408,WO0164,2025-02-11,W05,M004,43,1,2
409,WO0165,2025-02-11,W05,M006,24,1,2
410,WO0165,2025-02-11,W05,M001,40,1,2
411,WO0166,2025-02-12,W03,M003,50,2,2
412,WO0166,2025-02-12,W03,M004,14,2,2
413,WO0167,2025-02-12,W05,M006,21,2,2
414,WO0167,2025-02-12,W05,M005,45,2,2
415,WO0168,2025-02-12,W02,M002,15,2,2
416,WO0168,2025-02-12,W02,M008,14,2,2
417,WO0169,2025-02-12,W02,M006,16,2,2
418,WO0169,2025-02-12,W02,M001,9,2,2
419,WO0169,2025-02-12,W02,M008,40,2,2
420,WO0170,2025-02-12,W01,M007,40,2,2
421,WO0170,2025-02-12,W01,M005,27,2,2
422,WO0171,2025-02-12,W03,M006,32,2,2
423,WO0172,2025-02-12,W02,M005,16,2,2
424,WO0172,2025-02-12,W02,M008,22,2,2
425,WO0172,2025-02-12,W02,M004,47,2,2
426,WO0173,2025-02-13,W04,M007,27,3,2
427,WO0173,2025-02-13,W04,M002,36,3,2
428,WO0173,2025-02-13,W04,M006,16,3,2
429,WO0174,2025-02-13,W03,M007,35,3,2
430,WO0174,2025-02-13,W03,M006,34,3,2
431,WO0174,2025-02-13,W03,M008,21,3,2
432,WO0175,2025-02-13,W03,M007,17,3,2
433,WO0176,2025-02-13,W01,M002,33,3,2
434,WO0176,2025-02-13,W01,M003,10,3,2
435,WO0176,2025-02-13,W01,M005,44,3,2
436,WO0177,2025-02-14,W04,M003,22,4,2
437,WO0177,2025-02-14,W04,M001,21,4,2
438,WO0178,2025-02-14,W05,M001,48,4,2
439,WO0178,2025-02-14,W05,M005,28,4,2
440,WO0179,2025-02-14,W02,M002,25,4,2
441,WO0179,2025-02-14,W02,M006,37,4,2
442,WO0180,2025-02-14,W05,M001,46,4,2
443,WO0181,2025-02-14,W05,M003,7,4,2
444,WO0181,2025-02-14,W05,M005,15,4,2
445,WO0182,2025-02-14,W02,M002,41,4,2
446,WO0182,2025-02-14,W02,M001,52,4,2
447,WO0182,2025-02-14,W02,M005,31,4,2
448,WO0183,2025-02-15,W02,M007,15,5,2
449,WO0183,2025-02-15,W02,M006,6,5,2
450,WO0184,2025-02-15,W01,M005,23,5,2
451,WO0184,2025-02-15,W01,M004,9,5,2
452,WO0185,2025-02-16,W02,M003,14,6,2
453,WO0185,2025-02-16,W02,M008,18,6,2
454,WO0186,2025-02-17,W03,M005,19,0,2
455,WO0186,2025-02-17,W03,M008,30,0,2
456,WO0186,2025-02-17,W03,M004,36,0,2
457,WO0187,2025-02-17,W01,M002,32,0,2
458,WO0187,2025-02-17,W01,M003,16,0,2
459,WO0187,2025-02-17,W01,M005,25,0,2
460,WO0188,2025-02-17,W04,M003,45,0,2
461,WO0188,2025-02-17,W04,M005,14,0,2
462,WO0189,2025-02-17,W01,M007,43,0,2
463,WO0189,2025-02-17,W01,M002,25,0,2
464,WO0189,2025-02-17,W01,M001,23,0,2
465,WO0190,2025-02-17,W05,M006,28,0,2
466,WO0190,2025-02-17,W05,M005,20,0,2
467,WO0191,2025-02-18,W03,M002,41,1,2
468,WO0191,2025-02-18,W03,M003,14,1,2
469,WO0191,2025-02-18,W03,M001,21,1,2
470,WO0192,2025-02-18,W05,M007,19,1,2
471,WO0192,2025-02-18,W05,M006,9,1,2
472,WO0193,2025-02-18,W03,M007,18,1,2
473,WO0193,2025-02-18,W03,M006,27,1,2
474,WO0194,2025-02-19,W02,M007,15,2,2
475,WO0194,2025-02-19,W02,M001,14,2,2
476,WO0195,2025-02-19,W05,M007,35,2,2
477,WO0195,2025-02-19,W05,M008,25,2,2
478,WO0196,2025-02-19,W05,M006,48,2,2
479,WO0197,2025-02-19,W01,M005,49,2,2
480,WO0197,2025-02-19,W01,M008,44,2,2
481,WO0198,2025-02-19,W01,M007,15,2,2
482,WO0198,2025-02-19,W01,M008,9,2,2
483,WO0198,2025-02-19,W01,M004,16,2,2
484,WO0199,2025-02-20,W03,M007,19,3,2
485,WO0199,2025-02-20,W03,M005,56,3,2
486,WO0199,2025-02-20,W03,M004,18,3,2
487,WO0200,2025-02-20,W04,M007,39,3,2
488,WO0200,2025-02-20,W04,M002,12,3,2
489,WO0200,2025-02-20,W04,M006,13,3,2
490,WO0201,2025-02-20,W02,M007,29,3,2
491,WO0201,2025-02-20,W02,M002,48,3,2
492,WO0201,2025-02-20,W02,M004,32,3,2
493,WO0202,2025-02-20,W04,M001,54,3,2
494,WO0202,2025-02-20,W04,M008,14,3,2
495,WO0203,2025-02-20,W04,M006,20,3,2
496,WO0203,2025-02-20,W04,M003,29,3,2
497,WO0203,2025-02-20,W04,M005,15,3,2
498,WO0204,2025-02-21,W05,M003,27,4,2
499,WO0205,2025-02-21,W03,M003,9,4,2
500,WO0205,2025-02-21,W03,M008,43,4,2
501,WO0206,2025-02-21,W02,M002,31,4,2
502,WO0206,2025-02-21,W02,M004,25,4,2
503,WO0207,2025-02-21,W02,M006,29,4,2
504,WO0207,2025-02-21,W02,M008,19,4,2
505,WO0207,2025-02-21,W02,M004,11,4,2
506,WO0208,2025-02-22,W05,M006,11,5,2
507,WO0208,2025-02-22,W05,M004,9,5,2
508,WO0209,2025-02-23,W02,M002,11,6,2
509,WO0209,2025-02-23,W02,M006,12,6,2
510,WO0210,2025-02-23,W01,M002,10,6,2
511,WO0210,2025-02-23,W01,M001,20,6,2
512,WO0210,2025-02-23,W01,M008,6,6,2
513,WO0211,2025-02-24,W04,M006,23,0,2
514,WO0211,2025-02-24,W04,M005,27,0,2
515,WO0212,2025-02-24,W03,M003,39,0,2
516,WO0212,2025-02-24,W03,M005,13,0,2
517,WO0212,2025-02-24,W03,M004,17,0,2
518,WO0213,2025-02-24,W01,M002,29,0,2
519,WO0213,2025-02-24,W01,M006,24,0,2
520,WO0214,2025-02-24,W03,M006,40,0,2
521,WO0214,2025-02-24,W03,M008,27,0,2
522,WO0215,2025-02-24,W01,M007,24,0,2
523,WO0215,2025-02-24,W01,M003,34,0,2
524,WO0216,2025-02-25,W04,M003,16,1,2
525,WO0216,2025-02-25,W04,M008,35,1,2
526,WO0217,2025-02-25,W04,M007,21,1,2
527,WO0217,2025-02-25,W04,M003,24,1,2
528,WO0217,2025-02-25,W04,M005,23,1,2
529,WO0218,2025-02-25,W03,M006,19,1,2
530,WO0218,2025-02-25,W03,M003,58,1,2
531,WO0219,2025-02-25,W02,M003,50,1,2
532,WO0219,2025-02-25,W02,M004,38,1,2
533,WO0220,2025-02-25,W05,M007,33,1,2
534,WO0220,2025-02-25,W05,M002,23,1,2
535,WO0220,2025-02-25,W05,M005,56,1,2
